"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"154","Distrito Centro",11.3071390323147,11.1504227954271,11.4640071743424,"201732"
"155","Distrito Norte",10.8236619257604,10.6649506316669,10.9823866500233,"201732"
"156","Distrito Sul",11.7457057554694,11.5899108470766,11.9015446114865,"201732"
"157","Distrito Centro",8.69139505927199,8.53414300426023,8.84918547962666,"201832"
"158","Distrito Norte",8.53576808467476,8.3768461403727,8.69494058355892,"201832"
"159","Distrito Sul",9.3781735667979,9.22230174218325,9.53424272607102,"201832"
"160","Distrito Centro",7.46914761570775,7.3124763073926,7.62590715268237,"201932"
"161","Distrito Norte",7.05891168742564,6.90002793659605,7.21757003376329,"201932"
"162","Distrito Sul",7.79558819348465,7.63983886865071,7.95135187958068,"201932"
"163","Distrito Centro",12.1507651862189,11.9937694810419,12.3075831462087,"202032"
"164","Distrito Norte",11.8009800635145,11.6421938933269,11.9596002172261,"202032"
"165","Distrito Sul",12.4307178788612,12.2743895163062,12.5867293329147,"202032"
"166","Distrito Centro",10.0901794464337,9.9333272425023,10.2469336399347,"202132"
"167","Distrito Norte",9.74475079018834,9.58577169852287,9.90346096184315,"202132"
"168","Distrito Sul",10.4160706337561,10.2600971404118,10.5718846387132,"202132"
"169","Distrito Centro",10.018442069948,9.86068209864745,10.1768647919454,"202232"
"170","Distrito Norte",9.76901177762522,9.60989301268546,9.92846720968025,"202232"
"171","Distrito Sul",10.331239704508,10.1747483876123,10.488310456541,"202232"
"172","Distrito Centro",14.8994296225113,14.7419061326787,15.0566431133461,"202332"
"173","Distrito Norte",14.5725204252332,14.4127458200206,14.7318280576919,"202332"
"174","Distrito Sul",15.0394652052655,14.8830470093131,15.1962027082652,"202332"
"175","Distrito Centro",8.63338078127597,8.47520121775704,8.79160221414533,"202432"
"176","Distrito Norte",8.0200158319869,7.85938625466782,8.1810230417474,"202432"
"177","Distrito Sul",9.01996252160273,8.86258528348844,9.17715864641021,"202432"
"178","Distrito Centro",9.62624101413691,9.45788269591968,9.79423119967949,"202532"
"179","Distrito Norte",9.12364520229041,8.95310775050463,9.29390602871685,"202532"
"180","Distrito Sul",9.83661265347893,9.66938658996595,10.0035190127959,"202532"
"181","Distrito Centro",9.91842386513824,9.73564996622228,10.1005796273334,"201433"
"182","Distrito Norte",9.48531311999465,9.30046019693059,9.66973114499704,"201433"
"183","Distrito Sul",10.1619804029825,9.98097127714056,10.3428404553981,"201433"
"184","Distrito Centro",16.6312225519265,16.4594711472305,16.8029868666579,"201533"
"185","Distrito Norte",16.4336168168396,16.2595736229594,16.607494245392,"201533"
"186","Distrito Sul",16.7048989081378,16.5342302674713,16.8756866434579,"201533"
"187","Distrito Centro",7.89276787304596,7.72201831278673,8.06386226758834,"201633"
